"name"	"taxRank"	"taxID"	"Mean"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"barcode06.cladeReads"	"barcode07.cladeReads"	"barcode08.cladeReads"	"barcode09.cladeReads"	"barcode10.cladeReads"	"barcode11.cladeReads"	"barcode12.cladeReads"	"barcode13.cladeReads"	"Mean.1"	"barcode01.taxonReads"	"barcode02.taxonReads"	"barcode03.taxonReads"	"barcode04.taxonReads"	"barcode05.taxonReads"	"barcode06.taxonReads"	"barcode07.taxonReads"	"barcode08.taxonReads"	"barcode09.taxonReads"	"barcode10.taxonReads"	"barcode11.taxonReads"	"barcode12.taxonReads"	"barcode13.taxonReads"	"Mean.2"	"barcode01.cladeReads.."	"barcode02.cladeReads.."	"barcode03.cladeReads.."	"barcode04.cladeReads.."	"barcode05.cladeReads.."	"barcode06.cladeReads.."	"barcode07.cladeReads.."	"barcode08.cladeReads.."	"barcode09.cladeReads.."	"barcode10.cladeReads.."	"barcode11.cladeReads.."	"barcode12.cladeReads.."	"barcode13.cladeReads.."	"Mean.3"	"barcode01.taxonReads.."	"barcode02.taxonReads.."	"barcode03.taxonReads.."	"barcode04.taxonReads.."	"barcode05.taxonReads.."	"barcode06.taxonReads.."	"barcode07.taxonReads.."	"barcode08.taxonReads.."	"barcode09.taxonReads.."	"barcode10.taxonReads.."	"barcode11.taxonReads.."	"barcode12.taxonReads.."	"barcode13.taxonReads.."	"lineage"
"Bradyrhizobium sp. WD16"	"S"	1521768	78.077	87	71	46	51	102	166	136	121	69	59	78	29	NA	78.077	87	71	46	51	102	166	136	121	69	59	78	29	NA	0.0047664	0.005664	0.004588	0.00449	0.003748	0.007054	0.00752	0.007141	0.005833	0.005147	0.003721	0.004849	0.002208	NA	0.0047664	0.005664	0.004588	0.00449	0.003748	0.007054	0.00752	0.007141	0.005833	0.005147	0.003721	0.004849	0.002208	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CCGE-LA001"	"S"	1223566	43.769	83	46	35	37	38	67	67	63	28	47	37	21	NA	43.769	83	46	35	37	38	67	67	63	28	47	37	21	NA	0.0027447	0.005404	0.002972	0.003416	0.002719	0.002628	0.003035	0.003518	0.003037	0.002088	0.002965	0.0023	0.001599	NA	0.0027447	0.005404	0.002972	0.003416	0.002719	0.002628	0.003035	0.003518	0.003037	0.002088	0.002965	0.0023	0.001599	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. BTAi1"	"S"	288000	46.385	52	48	21	35	63	67	82	98	43	36	31	27	NA	46.385	52	48	21	35	63	67	82	98	43	36	31	27	NA	0.0028455	0.003385	0.003102	0.00205	0.002572	0.004357	0.003035	0.004306	0.004724	0.003207	0.002271	0.001927	0.002056	NA	0.0028455	0.003385	0.003102	0.00205	0.002572	0.004357	0.003035	0.004306	0.004724	0.003207	0.002271	0.001927	0.002056	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. NP1"	"S"	3049772	58.231	50	51	30	31	59	119	122	122	41	53	54	25	NA	58.231	50	51	30	31	59	119	122	122	41	53	54	25	NA	0.003475	0.003255	0.003295	0.002928	0.002278	0.00408	0.005391	0.006406	0.005881	0.003058	0.003343	0.003357	0.001903	NA	0.003475	0.003255	0.003295	0.002928	0.002278	0.00408	0.005391	0.006406	0.005881	0.003058	0.003343	0.003357	0.001903	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. I71"	"S"	2590772	29.462	49	26	17	20	22	71	51	43	19	17	35	13	NA	29.462	49	26	17	20	22	71	51	43	19	17	35	13	NA	0.0017801	0.00319	0.00168	0.001659	0.00147	0.001521	0.003216	0.002678	0.002073	0.001417	0.001072	0.002176	0.0009897	NA	0.0017801	0.00319	0.00168	0.001659	0.00147	0.001521	0.003216	0.002678	0.002073	0.001417	0.001072	0.002176	0.0009897	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. SK17"	"S"	2057741	47.231	42	41	26	33	38	94	81	102	28	48	50	31	NA	47.231	42	41	26	33	38	94	81	102	28	48	50	31	NA	0.0028451	0.002734	0.002649	0.002538	0.002425	0.002628	0.004258	0.004253	0.004917	0.002088	0.003028	0.003108	0.00236	NA	0.0028451	0.002734	0.002649	0.002538	0.002425	0.002628	0.004258	0.004253	0.004917	0.002088	0.003028	0.003108	0.00236	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. sBnM-33"	"S"	2831780	35.308	41	31	21	36	23	68	55	67	26	39	33	19	NA	35.308	41	31	21	36	23	68	55	67	26	39	33	19	NA	0.002158	0.002669	0.002003	0.00205	0.002646	0.001591	0.003081	0.002888	0.00323	0.001939	0.00246	0.002051	0.001446	NA	0.002158	0.002669	0.002003	0.00205	0.002646	0.001591	0.003081	0.002888	0.00323	0.001939	0.00246	0.002051	0.001446	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 192"	"S"	2782660	19.538	41	22	13	16	16	35	23	30	11	15	21	11	NA	19.538	41	22	13	16	16	35	23	30	11	15	21	11	NA	0.0012147	0.002669	0.001422	0.001269	0.001176	0.001106	0.001586	0.001208	0.001446	0.0008205	0.0009461	0.001305	0.0008374	NA	0.0012147	0.002669	0.001422	0.001269	0.001176	0.001106	0.001586	0.001208	0.001446	0.0008205	0.0009461	0.001305	0.0008374	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 200"	"S"	2782665	33.615	40	33	14	23	44	84	58	56	19	25	41	NA	NA	33.615	40	33	14	23	44	84	58	56	19	25	41	NA	NA	0.0019945	0.002604	0.002132	0.001367	0.00169	0.003043	0.003805	0.003046	0.002699	0.001417	0.001577	0.002549	NA	NA	0.0019945	0.002604	0.002132	0.001367	0.00169	0.003043	0.003805	0.003046	0.002699	0.001417	0.001577	0.002549	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. Ash2021"	"S"	2954771	44.385	39	42	18	28	50	94	74	90	34	47	45	16	NA	44.385	39	42	18	28	50	94	74	90	34	47	45	16	NA	0.0026557	0.002539	0.002714	0.001757	0.002058	0.003458	0.004258	0.003886	0.004338	0.002536	0.002965	0.002797	0.001218	NA	0.0026557	0.002539	0.002714	0.001757	0.002058	0.003458	0.004258	0.003886	0.004338	0.002536	0.002965	0.002797	0.001218	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. ORS 285"	"S"	115808	39.462	36	39	30	41	34	89	59	82	23	37	28	15	NA	39.462	36	39	30	41	34	89	59	82	23	37	28	15	NA	0.0023978	0.002344	0.00252	0.002928	0.003013	0.002351	0.004032	0.003098	0.003953	0.001716	0.002334	0.001741	0.001142	NA	0.0023978	0.002344	0.00252	0.002928	0.003013	0.002351	0.004032	0.003098	0.003953	0.001716	0.002334	0.001741	0.001142	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 170"	"S"	2782641	33.462	35	21	18	27	40	63	59	64	24	35	32	17	NA	33.462	35	21	18	27	40	63	59	64	24	35	32	17	NA	0.0020355	0.002279	0.001357	0.001757	0.001984	0.002766	0.002854	0.003098	0.003085	0.00179	0.002208	0.001989	0.001294	NA	0.0020355	0.002279	0.001357	0.001757	0.001984	0.002766	0.002854	0.003098	0.003085	0.00179	0.002208	0.001989	0.001294	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium genosp. L"	"S"	83637	27.769	35	22	NA	28	27	50	54	56	21	25	31	12	NA	27.769	35	22	NA	28	27	50	54	56	21	25	31	12	NA	0.0016469	0.002279	0.001422	NA	0.002058	0.001867	0.002265	0.002836	0.002699	0.001566	0.001577	0.001927	0.0009136	NA	0.0016469	0.002279	0.001422	NA	0.002058	0.001867	0.002265	0.002836	0.002699	0.001566	0.001577	0.001927	0.0009136	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CB82"	"S"	3039159	31.231	34	34	20	37	41	57	41	49	27	23	27	16	NA	31.231	34	34	20	37	41	57	41	49	27	23	27	16	NA	0.0019519	0.002214	0.002197	0.001952	0.002719	0.002835	0.002582	0.002153	0.002362	0.002014	0.001451	0.001678	0.001218	NA	0.0019519	0.002214	0.002197	0.001952	0.002719	0.002835	0.002582	0.002153	0.002362	0.002014	0.001451	0.001678	0.001218	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. BWA-3-5"	"S"	3080013	30.769	32	27	12	30	28	51	54	59	35	28	29	15	NA	30.769	32	27	12	30	28	51	54	59	35	28	29	15	NA	0.0018809	0.002083	0.001745	0.001171	0.002205	0.001936	0.00231	0.002836	0.002844	0.002611	0.001766	0.001803	0.001142	NA	0.0018809	0.002083	0.001745	0.001171	0.002205	0.001936	0.00231	0.002836	0.002844	0.002611	0.001766	0.001803	0.001142	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CB3481"	"S"	3039158	33.154	31	30	16	24	33	63	65	69	21	32	30	17	NA	33.154	31	30	16	24	33	63	65	69	21	32	30	17	NA	0.0019923	0.002018	0.001938	0.001562	0.001764	0.002282	0.002854	0.003413	0.003326	0.001566	0.002018	0.001865	0.001294	NA	0.0019923	0.002018	0.001938	0.001562	0.001764	0.002282	0.002854	0.003413	0.003326	0.001566	0.002018	0.001865	0.001294	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. ORS 278"	"S"	114615	37.231	31	32	22	35	37	68	63	70	35	21	49	21	NA	37.231	31	32	22	35	37	68	63	70	35	21	49	21	NA	0.0022852	0.002018	0.002068	0.002147	0.002572	0.002559	0.003081	0.003308	0.003374	0.002611	0.001325	0.003046	0.001599	NA	0.0022852	0.002018	0.002068	0.002147	0.002572	0.002559	0.003081	0.003308	0.003374	0.002611	0.001325	0.003046	0.001599	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CCBAU 051011"	"S"	858422	26.692	29	26	13	17	27	61	37	51	23	25	18	20	NA	26.692	29	26	13	17	27	61	37	51	23	25	18	20	NA	0.0016194	0.001888	0.00168	0.001269	0.001249	0.001867	0.002763	0.001943	0.002458	0.001716	0.001577	0.001119	0.001523	NA	0.0016194	0.001888	0.00168	0.001269	0.001249	0.001867	0.002763	0.001943	0.002458	0.001716	0.001577	0.001119	0.001523	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 186"	"S"	2782654	30.692	28	33	14	25	34	60	55	60	11	29	29	21	NA	30.692	28	33	14	25	34	60	55	60	11	29	29	21	NA	0.0018507	0.001823	0.002132	0.001367	0.001837	0.002351	0.002718	0.002888	0.002892	0.0008205	0.001829	0.001803	0.001599	NA	0.0018507	0.001823	0.002132	0.001367	0.001837	0.002351	0.002718	0.002888	0.002892	0.0008205	0.001829	0.001803	0.001599	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CCBAU 53421"	"S"	1325120	18.923	27	14	NA	17	21	42	34	37	14	20	20	NA	NA	18.923	27	14	NA	17	21	42	34	37	14	20	20	NA	NA	0.0011064	0.001758	0.0009046	NA	0.001249	0.001452	0.001903	0.001785	0.001784	0.001044	0.001261	0.001243	NA	NA	0.0011064	0.001758	0.0009046	NA	0.001249	0.001452	0.001903	0.001785	0.001784	0.001044	0.001261	0.001243	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 1(2017)"	"S"	1404888	22.154	26	24	10	14	24	62	39	32	14	12	18	13	NA	22.154	26	24	10	14	24	62	39	32	14	12	18	13	NA	0.0013245	0.001693	0.001551	0.0009761	0.001029	0.00166	0.002809	0.002048	0.001543	0.001044	0.0007569	0.001119	0.0009897	NA	0.0013245	0.001693	0.001551	0.0009761	0.001029	0.00166	0.002809	0.002048	0.001543	0.001044	0.0007569	0.001119	0.0009897	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. NDS-1"	"S"	3080014	15.846	23	20	10	13	14	28	27	30	10	19	12	NA	NA	15.846	23	20	10	13	14	28	27	30	10	19	12	NA	NA	0.00096235	0.001497	0.001292	0.0009761	0.0009555	0.0009681	0.001268	0.001418	0.001446	0.0007459	0.001198	0.000746	NA	NA	0.00096235	0.001497	0.001292	0.0009761	0.0009555	0.0009681	0.001268	0.001418	0.001446	0.0007459	0.001198	0.000746	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CCBAU 51753"	"S"	1325100	38.308	21	57	41	49	37	54	71	68	29	30	31	10	NA	38.308	21	57	41	49	37	54	71	68	29	30	31	10	NA	0.0024159	0.001367	0.003683	0.004002	0.003601	0.002559	0.002446	0.003728	0.003278	0.002163	0.001892	0.001927	0.0007613	NA	0.0024159	0.001367	0.003683	0.004002	0.003601	0.002559	0.002446	0.003728	0.003278	0.002163	0.001892	0.001927	0.0007613	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CCBAU 51765"	"S"	1325102	10.231	21	NA	NA	10	20	16	17	15	NA	18	16	NA	NA	10.231	21	NA	NA	10	20	16	17	15	NA	18	16	NA	NA	0.00061195	0.001367	NA	NA	0.000735	0.001383	0.0007248	0.0008927	0.0007231	NA	0.001135	0.0009947	NA	NA	0.00061195	0.001367	NA	NA	0.000735	0.001383	0.0007248	0.0008927	0.0007231	NA	0.001135	0.0009947	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CCBAU 53351"	"S"	1325114	16.923	20	13	12	16	21	21	19	33	11	17	23	14	NA	16.923	20	13	12	16	21	21	19	33	11	17	23	14	NA	0.0010669	0.001302	0.00084	0.001171	0.001176	0.001452	0.0009514	0.0009977	0.001591	0.0008205	0.001072	0.00143	0.001066	NA	0.0010669	0.001302	0.00084	0.001171	0.001176	0.001452	0.0009514	0.0009977	0.001591	0.0008205	0.001072	0.00143	0.001066	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CB1650"	"S"	3039153	18.538	15	10	NA	23	21	42	26	41	13	25	15	10	NA	18.538	15	10	NA	23	21	42	26	41	13	25	15	10	NA	0.0010961	0.0009766	0.0006462	NA	0.00169	0.001452	0.001903	0.001365	0.001976	0.0009696	0.001577	0.0009325	0.0007613	NA	0.0010961	0.0009766	0.0006462	NA	0.00169	0.001452	0.001903	0.001365	0.001976	0.0009696	0.001577	0.0009325	0.0007613	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CIAT3101"	"S"	439387	19.077	14	13	12	10	25	37	27	31	12	29	22	16	NA	19.077	14	13	12	10	25	37	27	31	12	29	22	16	NA	0.0011757	0.0009115	0.00084	0.001171	0.000735	0.001729	0.001676	0.001418	0.001494	0.0008951	0.001829	0.001368	0.001218	NA	0.0011757	0.0009115	0.00084	0.001171	0.000735	0.001729	0.001676	0.001418	0.001494	0.0008951	0.001829	0.001368	0.001218	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. B097"	"S"	3140244	13.923	14	13	NA	13	19	23	30	30	12	14	13	NA	NA	13.923	14	13	NA	13	19	23	30	30	12	14	13	NA	NA	0.00082079	0.0009115	0.00084	NA	0.0009555	0.001314	0.001042	0.001575	0.001446	0.0008951	0.000883	0.0008082	NA	NA	0.00082079	0.0009115	0.00084	NA	0.0009555	0.001314	0.001042	0.001575	0.001446	0.0008951	0.000883	0.0008082	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 41S5"	"S"	1404443	15.308	13	15	14	13	24	18	34	26	12	10	20	NA	NA	15.308	13	15	14	13	24	18	34	26	12	10	20	NA	NA	0.00095541	0.0008464	0.0009692	0.001367	0.0009555	0.00166	0.0008154	0.001785	0.001253	0.0008951	0.0006307	0.001243	NA	NA	0.00095541	0.0008464	0.0009692	0.001367	0.0009555	0.00166	0.0008154	0.001785	0.001253	0.0008951	0.0006307	0.001243	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CB1015"	"S"	2976822	10.846	13	12	NA	NA	14	23	22	18	11	16	12	NA	NA	10.846	13	12	NA	NA	14	23	22	18	11	16	12	NA	NA	0.00063308	0.0008464	0.0007754	NA	NA	0.0009681	0.001042	0.001155	0.0008677	0.0008205	0.001009	0.000746	NA	NA	0.00063308	0.0008464	0.0007754	NA	NA	0.0009681	0.001042	0.001155	0.0008677	0.0008205	0.001009	0.000746	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. B124"	"S"	3140245	9.8462	13	18	NA	NA	15	21	21	17	10	13	NA	NA	NA	9.8462	13	18	NA	NA	15	21	21	17	10	13	NA	NA	NA	0.00057586	0.0008464	0.001163	NA	NA	0.001037	0.0009514	0.001103	0.0008195	0.0007459	0.00082	NA	NA	NA	0.00057586	0.0008464	0.001163	NA	NA	0.001037	0.0009514	0.001103	0.0008195	0.0007459	0.00082	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 6(2017)"	"S"	1197460	4.7692	12	NA	NA	NA	NA	16	14	20	NA	NA	NA	NA	NA	4.7692	12	NA	NA	NA	NA	16	14	20	NA	NA	NA	NA	NA	0.00024656	0.0007813	NA	NA	NA	NA	0.0007248	0.0007351	0.0009641	NA	NA	NA	NA	NA	0.00024656	0.0007813	NA	NA	NA	NA	0.0007248	0.0007351	0.0009641	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 40"	"S"	2782674	4.6923	12	NA	NA	10	NA	10	14	15	NA	NA	NA	NA	NA	4.6923	12	NA	NA	10	NA	10	14	15	NA	NA	NA	NA	NA	0.00026365	0.0007813	NA	NA	0.000735	NA	0.000453	0.0007351	0.0007231	NA	NA	NA	NA	NA	0.00026365	0.0007813	NA	NA	0.000735	NA	0.000453	0.0007351	0.0007231	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 195"	"S"	2782662	10.923	11	14	NA	11	12	21	21	25	11	16	NA	NA	NA	10.923	11	14	NA	11	12	21	21	25	11	16	NA	NA	NA	0.00064215	0.0007161	0.0009046	NA	0.0008085	0.0008298	0.0009514	0.001103	0.001205	0.0008205	0.001009	NA	NA	NA	0.00064215	0.0007161	0.0009046	NA	0.0008085	0.0008298	0.0009514	0.001103	0.001205	0.0008205	0.001009	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CB2312"	"S"	3039155	3.6923	11	NA	NA	11	12	14	NA	NA	NA	NA	NA	NA	NA	3.6923	11	NA	NA	11	12	14	NA	NA	NA	NA	NA	NA	NA	0.00022989	0.0007161	NA	NA	0.0008085	0.0008298	0.0006342	NA	NA	NA	NA	NA	NA	NA	0.00022989	0.0007161	NA	NA	0.0008085	0.0008298	0.0006342	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. 62B"	"S"	2898442	5.7692	10	11	NA	13	NA	16	10	15	NA	NA	NA	NA	NA	5.7692	10	11	NA	13	NA	16	10	15	NA	NA	NA	NA	NA	0.00033002	0.000651	0.0007108	NA	0.0009555	NA	0.0007248	0.0005251	0.0007231	NA	NA	NA	NA	NA	0.00033002	0.000651	0.0007108	NA	0.0009555	NA	0.0007248	0.0005251	0.0007231	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium sp. CCBAU 53340"	"S"	1325112	18.615	10	11	18	15	26	40	33	29	15	21	24	NA	NA	18.615	10	11	18	15	26	40	33	29	15	21	24	NA	NA	0.001146	0.000651	0.0007108	0.001757	0.001102	0.001798	0.001812	0.001733	0.001398	0.001119	0.001325	0.001492	NA	NA	0.001146	0.000651	0.0007108	0.001757	0.001102	0.001798	0.001812	0.001733	0.001398	0.001119	0.001325	0.001492	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium>unclassified&nbsp;Bradyrhizobium"
"Bradyrhizobium erythrophlei"	"S"	1437360	91	83	71	48	61	89	176	153	183	83	87	102	47	NA	91	83	71	48	61	89	176	153	183	83	87	102	47	NA	0.0055185	0.005404	0.004588	0.004685	0.004483	0.006155	0.007973	0.008034	0.008822	0.006191	0.005487	0.006341	0.003578	NA	0.0055185	0.005404	0.004588	0.004685	0.004483	0.006155	0.007973	0.008034	0.008822	0.006191	0.005487	0.006341	0.003578	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium"
"Bradyrhizobium diazoefficiens"	"S"	1355477	106.46	138	100	95	104	84	178	120	139	104	103	118	101	NA	106.46	138	100	95	104	84	178	120	139	104	103	118	101	NA	0.006809	0.008984	0.006462	0.009273	0.007644	0.005809	0.008064	0.006301	0.006701	0.007757	0.006497	0.007336	0.007689	NA	0.006809	0.008984	0.006462	0.009273	0.007644	0.005809	0.008064	0.006301	0.006701	0.007757	0.006497	0.007336	0.007689	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium"
"Bradyrhizobium ottawaense"	"S"	931866	34.769	74	36	29	22	38	48	47	41	35	31	33	18	NA	34.769	74	36	29	22	38	48	47	41	35	31	33	18	NA	0.0022174	0.004818	0.002326	0.002831	0.001617	0.002628	0.002175	0.002468	0.001976	0.002611	0.001955	0.002051	0.00137	NA	0.0022174	0.004818	0.002326	0.002831	0.001617	0.002628	0.002175	0.002468	0.001976	0.002611	0.001955	0.002051	0.00137	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium"
"Bradyrhizobium prioritasuperba"	"S"	2854389	66.154	59	53	40	47	67	141	102	141	50	64	64	32	NA	66.154	59	53	40	47	67	141	102	141	50	64	64	32	NA	0.0039984	0.003841	0.003425	0.003904	0.003454	0.004633	0.006388	0.005356	0.006797	0.003729	0.004037	0.003979	0.002436	NA	0.0039984	0.003841	0.003425	0.003904	0.003454	0.004633	0.006388	0.005356	0.006797	0.003729	0.004037	0.003979	0.002436	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae>Bradyrhizobium"
